Feature
class_Economy
class_Business
duration
days_left
airline_Air_India
airline_Vistara
source_city_Delhi
destination_city_Delhi
source_city_Mumbai
destination_city_Mumbai
destination_city_Kolkata
source_city_Kolkata
arrival_time_Evening
destination_city_Hyderabad
destination_city_Bangalore
source_city_Hyderabad
arrival_time_Night
departure_time_Evening
source_city_Bangalore
arrival_time_Afternoon
stops_two_or_more
source_city_Chennai
stops_one
departure_time_Morning
destination_city_Chennai
departure_time_Afternoon
departure_time_Early_Morning
departure_time_Night
arrival_time_Morning
arrival_time_Early_Morning
airline_AirAsia
airline_Indigo
arrival_time_Late_Night
airline_GO_FIRST
departure_time_Late_Night
airline_SpiceJet
stops_zero
