Model,MSE,RMSE,R2,CV R2 Mean,CV R2 Std
Linear Regression,45720618.91274404,6761.702367950252,0.9113051577967881,0.911468770389618,0.0008283309949174212
Random Forest,19257007.611445352,4388.280712471042,0.9626427355530152,0.9635886669290723,0.0005057564399612676
XGBoost,13848358.079559455,3721.338210853651,0.9731351137161255,0.973555040359497,0.0005401468036721518
